Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
02/15/01,07-15,The One with Joey's New Brain,Kevin S. Bright,"Story by : Sherry Bilsing & Ellen Plummer
Teleplay by : Andrew Reich & Ted Cohen",22,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play her character, but she's unaware that she's being written out of the show and freaks out at Joey. Later, she tries to give him some pointers, and they end up spending the night together. Ross tells Chandler and Monica that he has a surprise for their wedding, which turns out to be him playing the bagpipes - terribly, as it turns out. Rachel and Phoebe have their eye on a guy at the coffee house and when he leaves his cellphone, they see it as an opportunity to hook up with him; the only problem is who will it be?",14.0/22,21.75 million,226416
02/15/01,Special,Friends: The Stuff You've Never Seen,,,,,14.4/21,22.50 million,
02/22/01,07-16,The One with the Truth About London,David Schwimmer,"Story by : Brian Buckner & Sebastian Jones
Teleplay by : Zachary Rosenblatt",22,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",13.7/21,21.22 million,226417
03/15/01,07-17,The One with the Cheap Wedding Dress,Kevin S. Bright,"Story by : Brian Buckner & Sebastian Jones
Teleplay by : Andrew Reich & Ted Cohen",22,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can usually handle. The worst shopper is Megan: she grabs the dress Monica wants, then blackmails her over booking the swing band that's the only thing Chandler really wants for the wedding. Meanwhile, Ross and Joey independently meet and date Kristen while helping her move in. The rivals agree to let her choose after one date with each, but they get so carried away cheating on the deal that she runs off altogether.",13.9/23,20.84 million,226414
03/29/01,07-18,The One with Joey's Award,Gary Halvorson,"Story by : Sherry Bilsing & Ellen Plummer
Teleplay by : Brian Boyle",22,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel convinces him to take it back because he can't be happy with an award he didn't win. One of Ross' students failed the midterms because he is in love with Ross and can't concentrate in class so Ross changes his grade. But now more students come to Ross pretending to be in love with him in order to get a better grade. When Rachel and Joey take the Soapy back the real winner just throws it away saying it's not good enough for her so Joey takes it back home. Monica really loves Chandler but it scares her that she will never have the rush of the beginning of meeting someone new again. Chandler reassures her and she realizes she is going to have a lot of new things with Chandler as well.,12.1/19,17.81 million,226418
04/19/01,07-19,The One with Ross and Monica's Cousin,Gary Halvorson,Andrew Reich & Ted Cohen,22,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,11.4/19,16.55 million,226421
04/26/01,07-20,The One with Rachel's Big Kiss,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,22,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,10.9/19,16.30 million,226419
05/03/01,07-21,The One with the Vows,Gary Halvorson,Doty Abrams,22,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",10.1/17,15.65 million,226424
05/10/01,07-22,The One with Chandler's Dad,Kevin S. Bright & Gary Halvorson,"Story by : Gregory S. Malins
Teleplay by : Brian Buckner & Sebastian Jones",22,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,11.4/21,17.23 million,226420
05/17/01,"07-23
07-24",The One with Monica and Chandler's Wedding,Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,44,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines. Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.",18.7/31,30.05 million,226422226423
